City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
santa maria,8,BR,1584498395,83,73.4,-29.68,-53.81,13.87
singkang,20,MY,1584498396,70,84.2,2.1,102.8,5.82
duluth,1,US,1584498396,68,35.6,46.78,-92.11,2.95
san patricio,40,MX,1584498368,83,77.0,19.22,-104.7,5.82
cap malheureux,20,MU,1584498396,100,73.4,-19.98,57.61,5.82
alta floresta,100,BR,1584498347,93,72.97,-9.88,-56.09,0.89
ewa beach,90,US,1584498397,83,73.4,21.32,-158.01,5.82
bjerkvik,68,NO,1584498397,98,35.6,68.56,17.52,18.34
tacoronte,90,ES,1584498397,81,64.0,28.48,-16.41,21.92
westport,75,US,1584498397,81,51.8,41.14,-73.36,13.85
sisimiut,100,GL,1584498398,62,7.7,66.94,-53.67,19.28
marang,20,MY,1584498398,88,78.8,5.21,103.21,3.36
bitkine,100,TD,1584498398,12,73.13,11.98,18.21,8.86
grande prairie,40,CA,1584498131,67,19.4,55.17,-118.8,8.05
kobe,40,JP,1584498257,66,62.01,34.69,135.18,9.17
hilton head island,20,US,1584498399,93,70.0,32.22,-80.75,3.36
cabedelo,20,BR,1584498399,88,78.8,-6.98,-34.83,4.7
fortuna,90,US,1584498399,87,46.99,40.6,-124.16,16.11
behren-les-forbach,20,FR,1584498400,100,43.0,49.17,6.94,1.12
munster,100,DE,1584498400,84,48.0,51.96,7.63,6.93
thunder bay,75,CA,1584498322,46,28.4,48.4,-89.32,5.82
kushiro,20,JP,1584498151,69,39.2,42.98,144.37,11.41
oussouye,0,SN,1584498422,88,71.6,12.48,-16.55,2.24
prescott,1,US,1584498422,79,55.99,34.54,-112.47,10.29
licata,12,IT,1584498422,86,45.0,37.11,13.95,6.93
namibe,100,AO,1584498423,81,73.35,-15.2,12.15,4.7
merauke,43,ID,1584498423,56,89.67,-8.47,140.33,4.16
siniscola,0,IT,1584498423,91,42.08,40.57,9.69,1.57
velingrad,5,BG,1584498423,92,30.99,42.03,24.0,2.26
takoradi,100,GH,1584498424,87,79.36,4.88,-1.76,6.38
kafue,98,ZM,1584498424,96,64.04,-15.77,28.18,7.49
portland,75,US,1584498211,41,59.0,45.52,-122.68,3.33
praia,20,CV,1584498425,68,68.0,14.92,-23.51,14.99
sakaiminato,40,JP,1584498425,47,59.0,35.55,133.23,4.7
bonavista,100,CA,1584498425,72,28.24,48.65,-53.11,23.8
bafoussam,84,CM,1584498426,91,62.55,5.47,10.42,2.57
bathsheba,20,BB,1584498426,73,77.0,13.22,-59.52,11.41
goderich,0,CA,1584498447,53,37.0,43.75,-81.72,4.09
wageningen,90,NL,1584498447,65,46.99,51.97,5.67,9.17
saysain,20,PH,1584498448,55,88.0,14.56,120.39,13.87
belousovka,90,KZ,1584498448,93,35.6,50.13,82.52,11.18
czluchow,99,PL,1584498448,81,44.01,53.67,17.36,8.86
reconquista,31,AR,1584498449,88,73.6,-29.15,-59.65,7.07
lubbock,90,US,1584498319,100,53.6,33.6,-101.83,8.05
egvekinot,83,RU,1584498449,97,18.55,66.32,-179.17,10.94
kjollefjord,99,NO,1584498449,93,23.11,70.95,27.35,4.52
zigong,0,CN,1584498450,38,68.9,29.34,104.78,6.82
lata,0,PT,1584498450,93,55.0,40.16,-8.33,1.12
grootfontein,56,NA,1584498450,89,62.13,-19.57,18.12,5.53
kirovskiy,53,RU,1584498450,91,37.09,45.09,133.51,3.42
mahon,68,ES,1584498451,93,55.4,39.89,4.27,11.41
bubaque,0,GW,1584498358,74,77.79,11.28,-15.83,18.72
malanje,100,AO,1584498451,98,62.83,-9.54,16.34,2.51
richards bay,82,ZA,1584498451,71,71.6,-28.78,32.04,25.01
buala,60,SB,1584498451,77,82.65,-8.14,159.59,3.47
worland,1,US,1584498452,52,51.01,44.02,-107.96,6.93
porto santo,75,PT,1584498452,67,60.8,33.07,-16.34,21.92
carupano,89,VE,1584498221,93,70.54,10.67,-63.26,1.5
kwinana,40,AU,1584498452,56,71.01,-32.25,115.77,14.99
trinidad,100,BO,1584498452,91,77.23,-14.83,-64.9,2.91
nantucket,20,US,1584498453,93,43.0,41.28,-70.1,11.41
san cristobal,40,VE,1584498453,61,82.4,7.77,-72.22,4.7
sarakhs,73,IR,1584498453,76,55.4,36.54,61.16,18.34
hovd,29,MN,1584498453,26,39.72,48.01,91.64,1.45
bereda,0,ES,1584498454,93,46.4,43.27,-7.54,3.36
rovnoye,0,RU,1584498454,64,34.92,50.78,46.05,4.65
tifton,90,US,1584498454,94,70.0,31.45,-83.51,2.08
kiama,0,AU,1584498454,41,78.8,-34.68,150.87,8.05
yeppoon,20,AU,1584498455,48,82.4,-23.13,150.73,11.41
shelburne,1,CA,1584498455,63,35.01,44.08,-80.2,2.24
balkanabat,72,TM,1584498455,71,48.6,39.51,54.37,4.9
san jeronimo,100,PE,1584498455,90,41.68,-11.95,-75.28,5.73
maldonado,90,UY,1584498455,82,68.0,-34.67,-54.92,8.05
wawa,60,NG,1584498456,30,82.15,9.9,4.42,4.18
mpraeso,100,GH,1584498456,91,74.91,6.59,-0.73,6.62
laranjal paulista,0,BR,1584498379,80,72.0,-23.05,-47.84,4.0
touros,20,BR,1584498456,94,77.0,-5.2,-35.46,1.12
iguai,96,BR,1584498457,95,69.67,-14.76,-40.09,1.25
mocuba,56,MZ,1584498457,97,70.07,-16.84,36.99,4.9
akyab,0,MM,1584498457,50,77.68,20.15,92.9,8.01
talara,100,PE,1584498457,89,77.36,-4.58,-81.27,2.75
hamilton,1,US,1584498442,86,45.0,39.18,-84.53,4.7
ilebo,100,CD,1584498458,97,69.33,-4.32,20.58,1.54
bemidji,1,US,1584498458,58,32.0,47.47,-94.88,3.36
gamba,100,GA,1584498458,93,77.07,-2.65,10.0,1.88
foz,6,ES,1584498459,1,54.0,43.57,-7.25,1.52
balkhash,0,KZ,1584498459,69,35.6,46.84,74.98,11.18
springdale,90,US,1584498371,100,57.2,36.19,-94.13,8.05
general roca,40,AR,1584498480,52,68.0,-39.03,-67.58,10.29
susaki,0,JP,1584498481,33,62.6,33.37,133.28,6.93
esmeraldas,75,BR,1584498481,88,69.8,-19.76,-44.31,8.05
puerto lumbreras,100,ES,1584498481,99,46.99,37.56,-1.81,4.0
kitimat,20,CA,1584498481,34,50.0,54.05,-128.65,8.05
jibuti,100,DJ,1584498482,81,74.03,11.5,42.5,17.58
champua,0,IN,1584498482,35,76.82,22.08,85.67,3.89
altamira,99,BR,1584498482,98,74.01,-3.2,-52.21,1.86
zhanaozen,100,KZ,1584498482,82,39.15,43.3,52.8,17.85
northam,75,GB,1584498380,93,51.01,51.03,-4.22,9.17
codajas,97,BR,1584498483,93,75.85,-3.84,-62.06,2.19
noumea,1,NC,1584498484,65,82.99,-22.28,166.46,21.92
nouadhibou,48,MR,1584498484,67,62.6,20.93,-17.03,26.4
ayorou,16,NE,1584498484,10,81.99,14.73,0.92,9.44
katangli,96,RU,1584498485,87,31.68,51.71,143.23,7.25
vanderhoof,75,CA,1584498485,88,25.63,54.02,-124.02,2.73
lubao,40,PH,1584498485,62,86.0,14.92,120.55,6.93
jumla,0,NP,1584498486,26,45.32,29.27,82.18,2.73
dandong,13,CN,1584498486,50,51.67,40.13,124.39,20.71
statesboro,90,US,1584498219,88,73.4,32.45,-81.78,2.21
solnechnyy,100,RU,1584498486,96,27.77,50.72,136.63,4.72
cidreira,88,BR,1584498365,83,73.53,-30.18,-50.21,25.03
berehove,62,UA,1584498487,86,37.99,48.21,22.64,2.24
mehamn,100,NO,1584498487,94,23.16,71.04,27.85,4.16
jackson,75,US,1584498415,62,52.0,42.42,-122.83,5.82
moussoro,71,TD,1584498488,10,72.63,13.64,16.49,13.58
uusikaupunki,100,FI,1584498509,93,37.4,60.8,21.41,10.29
xuanzhou,0,CN,1584498509,49,69.87,30.95,118.76,5.82
abu dhabi,0,AE,1584498228,64,75.99,24.47,54.37,5.82
calama,2,CL,1584498510,54,59.0,-22.47,-68.93,9.17
ilam,0,NP,1584498510,49,58.73,26.92,87.92,3.65
balabac,17,PH,1584498510,67,84.6,7.99,117.06,13.56
ibra,0,OM,1584498510,40,66.51,22.69,58.53,3.18
saint anthony,40,US,1584498511,60,41.0,45.02,-93.22,3.36
pacifica,1,US,1584498511,76,53.01,37.61,-122.49,2.24
port hardy,5,CA,1584498511,61,46.4,50.7,-127.42,5.82
ketchikan,1,US,1584498512,87,46.4,55.34,-131.65,17.22
marco,90,US,1584498512,83,77.0,25.97,-81.73,2.28
palana,100,RU,1584498512,78,19.42,59.12,159.97,13.02
anzio,75,IT,1584498513,87,52.0,41.49,12.62,4.7
rosa zarate,82,EC,1584498513,95,72.03,0.33,-79.47,2.04
nova vodolaha,0,UA,1584498513,68,26.6,49.72,35.87,4.47
dunmore east,100,IE,1584498514,99,46.0,52.15,-6.99,5.01
kalmunai,82,LK,1584498514,75,81.05,7.42,81.82,3.0
hazaribag,0,IN,1584498514,36,73.81,23.98,85.35,6.42
marawi,88,PH,1584498514,79,82.0,8.0,124.29,5.01
hirara,75,JP,1584498515,64,75.2,24.8,125.28,16.11
praia da vitoria,20,PT,1584498515,82,60.8,38.73,-27.07,14.5
kipushi,80,CD,1584498515,98,60.17,-11.77,27.23,4.45
puri,20,IN,1584498487,88,75.2,19.8,85.85,7.63
getulio vargas,100,UY,1584498516,82,67.28,-32.68,-53.55,12.86
sur,0,OM,1584498537,43,69.08,22.57,59.53,2.95
valverde del camino,100,ES,1584498537,71,57.99,37.58,-6.75,5.01
puerto suarez,9,BO,1584498538,85,76.44,-18.95,-57.8,4.32
vieste,5,IT,1584498538,86,44.01,41.88,16.18,5.82
nizhniy ingash,100,RU,1584498538,59,30.63,56.2,96.53,9.55
moranbah,0,AU,1584498322,34,83.48,-22.0,148.05,17.45
uyuni,100,BO,1584498539,67,53.44,-20.46,-66.83,10.09
kamalpur,0,IN,1584498539,82,68.0,24.2,91.83,1.16
eydhafushi,26,MV,1584498539,77,84.49,5.1,73.07,20.07
komsomolskiy,88,UZ,1584498539,54,53.6,40.43,71.72,9.17
namanga,100,KE,1584498540,90,67.77,-2.54,36.79,0.63
peniche,0,PT,1584498379,62,60.01,39.36,-9.38,11.41
galveston,40,US,1584498540,94,73.99,29.37,-94.97,10.29
navrongo,0,GH,1584498541,35,82.85,10.9,-1.09,3.94
penzance,90,GB,1584498541,100,52.0,50.12,-5.54,21.92
shumskiy,100,RU,1584498542,69,24.51,54.83,99.13,10.69
royan,75,FR,1584498542,93,50.0,45.63,-1.03,5.14
lompoc,20,US,1584498543,58,53.6,34.64,-120.46,5.82
teeli,76,RU,1584498543,91,28.96,51.03,90.23,2.01
oriximina,100,BR,1584498543,87,78.66,-1.77,-55.87,5.86
la ronge,75,CA,1584498307,49,3.2,55.1,-105.28,2.24
san policarpo,65,PH,1584498544,81,80.1,12.18,125.51,9.22
alugan,65,PH,1584498544,81,80.1,12.22,125.48,9.22
